Date,TWSE,TWSE growth rate,TPEX,TPEX growth rate
2003/1/1,5015.16,12.64,101.84,7.9
2003/2/1,4432.46,-11.62,92.23,-9.44
2003/3/1,4321.22,-2.51,87.95,-4.64
2003/4/1,4148.07,-4.01,80,-9.04
2003/5/1,4555.9,9.83,87.91,9.89
2003/6/1,4872.15,6.94,99.41,13.08
2003/7/1,5318.34,9.16,110.84,11.5
2003/8/1,5650.83,6.25,111.24,0.36
2003/9/1,5611.41,-0.7,110.05,-1.07
2003/10/1,6045.12,7.73,112.12,1.88
2003/11/1,5771.77,-4.52,112.89,0.69
2003/12/1,5890.69,2.06,117.31,3.92
2004/1/1,6375.38,8.23,135.41,15.43
2004/2/1,6750.54,5.88,146.91,8.49
2004/3/1,6522.19,-3.38,145.52,-0.95
2004/4/1,6117.81,-6.2,138.28,-4.98
2004/5/1,5977.84,-2.29,131.21,-5.11
2004/6/1,5839.44,-2.32,121.16,-7.66
2004/7/1,5420.57,-7.17,111.23,-8.2
2004/8/1,5765.54,6.36,113.94,2.44
2004/9/1,5845.69,1.39,112.74,-1.05
2004/10/1,5705.93,-2.39,111.26,-1.31
2004/11/1,5844.76,2.43,110.8,-0.41
2004/12/1,6139.69,5.05,115.75,4.47
2005/1/1,5994.23,-2.37,112.7,-2.63
2005/2/1,6207.83,3.56,120.1,6.57
2005/3/1,6005.88,-3.25,120.36,0.22
2005/4/1,5818.07,-3.13,113.49,-5.71
2005/5/1,6011.56,3.33,115.91,2.13
2005/6/1,6241.94,3.83,123.07,6.18
2005/7/1,6311.98,1.12,129,4.82
2005/8/1,6033.47,-4.41,118.46,-8.17
2005/9/1,6118.61,1.41,118.1,-0.3
2005/10/1,5764.3,-5.79,106.71,-9.64
2005/11/1,6203.47,7.62,117.13,9.76
2005/12/1,6548.34,5.56,133.34,13.84
2006/1/1,6532.18,-0.25,130.46,-2.16
2006/2/1,6561.63,0.45,131,0.41
2006/3/1,6613.97,0.8,136.1,3.89
2006/4/1,7171.77,8.43,145.96,7.24
2006/5/1,6846.95,-4.53,142.4,-2.44
2006/6/1,6704.41,-2.08,131.04,-7.98
2006/7/1,6454.58,-3.73,130.28,-0.58
2006/8/1,6611.77,2.44,135.62,4.1
2006/9/1,6883.05,4.1,139.43,2.81
2006/10/1,7021.32,2.01,141.4,1.41
2006/11/1,7567.72,7.78,153.87,8.82
2006/12/1,7823.72,3.38,163.91,6.52
2007/1/1,7699.64,-1.59,161.54,-1.45
2007/2/1,7901.96,2.63,167.34,3.59
2007/3/1,7884.41,-0.22,174.95,4.55
2007/4/1,7875.42,-0.11,172.55,-1.37
2007/5/1,8144.95,3.42,181.48,5.18
2007/6/1,8883.21,9.06,199.55,9.96
2007/7/1,9287.25,4.55,225.72,13.11
2007/8/1,8982.16,-3.29,196.81,-12.81
2007/9/1,9476.52,5.5,198.15,0.68
2007/10/1,9711.37,2.48,183.72,-7.28
2007/11/1,8586.4,-11.58,156.91,-14.59
2007/12/1,8506.28,-0.93,154.47,-1.56
2008/1/1,7521.13,-11.58,123.54,-20.02
2008/2/1,8412.76,11.86,141.26,14.34
2008/3/1,8572.59,1.9,144.55,2.33
2008/4/1,8919.92,4.05,157.27,8.8
2008/5/1,8619.08,-3.37,145.64,-7.39
2008/6/1,7523.54,-12.71,119.83,-17.72
2008/7/1,7024.06,-6.64,113.77,-5.06
2008/8/1,7046.11,0.31,111.97,-1.58
2008/9/1,5719.28,-18.83,83.17,-25.72
2008/10/1,4870.66,-14.84,69.84,-16.03
2008/11/1,4460.49,-8.42,60.52,-13.34
2008/12/1,4591.22,2.93,64.37,6.36
2009/1/1,4247.97,78.34,60.49,-6.03
2009/2/1,4557.15,7.28,67.84,12.15
2009/3/1,5210.84,14.34,79.1,16.6
2009/4/1,5992.57,15,91.49,15.66
